LAT,LONG,Nbre_IM_2022,Nbre_IM_20132022,nom zone maritime
54.0,-2.0,679,4938,Îles Britanniques
37.0,30.0,584,4969,Méditerrannée orientale et mer Noire
12.0,115.0,242,2598,Mer de Chine méridionale Indochine Indonésie et Philippines
39.0,5.0,191,1208,Méditerranée occidentale
45.0,-84.0,186,1529,Les Grands Lacs
40.0,-125.0,148,1156,Côtes ouest nord-américaine
65.0,-20.0,138,1136,Islande et Norvège du Nord
58.0,20.0,119,1433,La Mer Baltique
49.0,-56.0,108,0,Terre-Neuve Canada
40.0,130.0,88,1255,Japon Corée et Chine du Nord
5.0,-5.0,0,911,Côte ouest-africaine
